1         Threads
1         Connections per thread
2000000   Requests per client


ALL STATS
============================================================================================================================
Type         Ops/sec     Hits/sec   Misses/sec    Avg. Latency     p50 Latency     p99 Latency   p99.9 Latency       KB/sec 
----------------------------------------------------------------------------------------------------------------------------
Sets         1006.47          ---          ---         0.88574         0.85500         1.39900         1.84700   1030676.71 
Gets          100.65        91.04         9.61         1.06570         1.06300         2.02300         2.68700     93225.44 
Waits           0.00          ---          ---             ---             ---             ---             ---          --- 
Totals       1107.12        91.04         9.61         0.90210         0.87100         1.64700         2.14300   1123902.15 


Request Latency Distribution
Type     <= msec         Percent
GET       1.775       96.875
GET       1.783       97.031
GET       1.791       97.188
GET       1.799       97.344
GET       1.807       97.500
GET       1.823       97.656
GET       1.831       97.812
GET       1.839       97.969
GET       1.855       98.125
GET       1.871       98.281
GET       1.887       98.438
GET       1.903       98.516
GET       1.911       98.594
GET       1.927       98.672
GET       1.943       98.750
GET       1.967       98.828
GET       1.991       98.906
GET       2.015       98.984
GET       2.063       99.062
GET       2.095       99.141
GET       2.143       99.219
GET       2.159       99.258
GET       2.175       99.297
GET       2.207       99.336
GET       2.239       99.375
GET       2.255       99.414
GET       2.271       99.453
GET       2.287       99.492
GET       2.319       99.531
GET       2.335       99.570
GET       2.367       99.609
GET       2.383       99.629
GET       2.383       99.648
GET       2.399       99.668
GET       2.415       99.688
GET       2.431       99.707
GET       2.447       99.727
GET       2.463       99.746
GET       2.479       99.766
GET       2.511       99.785
GET       2.527       99.805
GET       2.543       99.814
GET       2.543       99.824
GET       2.559       99.834
GET       2.575       99.844
GET       2.607       99.854
GET       2.623       99.863
GET       2.623       99.873
GET       2.655       99.883
GET       2.671       99.893
GET       2.687       99.902
GET       2.703       99.907
GET       2.719       99.912
GET       2.719       99.917
GET       2.735       99.922
GET       2.735       99.927
GET       2.751       99.932
GET       2.767       99.937
GET       2.783       99.941
GET       2.783       99.946
GET       2.799       99.951
GET       2.815       99.954
GET       2.831       99.956
GET       2.847       99.958
GET       2.847       99.961
GET       2.863       99.963
GET       2.879       99.966
GET       2.895       99.968
GET       2.895       99.971
GET       2.911       99.973
GET       2.959       99.976
GET       2.975       99.977
GET       2.991       99.978
GET       2.991       99.979
GET       3.007       99.980
GET       3.023       99.982
GET       3.023       99.983
GET       3.039       99.984
GET       3.039       99.985
GET       3.087       99.987
GET       3.087       99.988
GET       3.087       99.988
GET       3.119       99.989
GET       3.119       99.990
GET       3.199       99.990
GET       3.199       99.991
GET       3.231       99.991
GET       3.231       99.992
GET       3.247       99.993
GET       3.263       99.993
GET       3.295       99.994
GET       3.311       99.994
GET       3.327       99.995
GET       3.327       99.995
GET       3.359       99.995
GET       3.359       99.995
GET       3.375       99.996
GET       3.375       99.996
GET       3.391       99.996
GET       3.391       99.997
GET       3.407       99.997
GET       3.407       99.997
GET       3.439       99.997
GET       3.439       99.997
GET       3.439       99.998
GET       3.439       99.998
GET       3.487       99.998
GET       3.487       99.998
GET       3.487       99.998
GET       3.487       99.998
GET       3.567       99.998
GET       3.567       99.999
GET       3.567       99.999
GET       3.567       99.999
GET       3.567       99.999
GET       3.567       99.999
GET       3.631       99.999
GET       3.631       99.999
GET       3.631       99.999
GET       3.631       99.999
GET       3.631       99.999
GET       3.631       99.999
GET       3.631       99.999
GET       3.631       99.999
GET       3.631       99.999
GET       3.631       99.999
GET       8.767       99.999
GET       8.767      100.000
---
WAIT      0.000      100.000
