1         Threads
1         Connections per thread
2000000   Requests per client


ALL STATS
============================================================================================================================
Type         Ops/sec     Hits/sec   Misses/sec    Avg. Latency     p50 Latency     p99 Latency   p99.9 Latency       KB/sec 
----------------------------------------------------------------------------------------------------------------------------
Sets          822.98          ---          ---         1.07272         0.94300         1.35100         1.45500    842771.04 
Gets           82.30        74.44         7.86         0.86246         0.76700         2.07900         2.35100     76229.24 
Waits           0.00          ---          ---             ---             ---             ---             ---          --- 
Totals        905.28        74.44         7.86         1.05360         0.93500         1.39100         2.14300    919000.28 


Request Latency Distribution
Type     <= msec         Percent
GET       1.455       95.625
GET       1.463       95.938
GET       1.471       96.250
GET       1.479       96.562
GET       1.487       96.875
GET       1.495       97.031
GET       1.503       97.188
GET       1.511       97.344
GET       1.519       97.500
GET       1.535       97.656
GET       1.551       97.812
GET       1.575       97.969
GET       1.663       98.125
GET       1.927       98.281
GET       1.983       98.438
GET       1.999       98.516
GET       2.015       98.594
GET       2.023       98.672
GET       2.039       98.750
GET       2.047       98.828
GET       2.063       98.906
GET       2.079       98.984
GET       2.095       99.062
GET       2.111       99.141
GET       2.127       99.219
GET       2.127       99.258
GET       2.143       99.297
GET       2.143       99.336
GET       2.159       99.375
GET       2.159       99.414
GET       2.175       99.453
GET       2.191       99.492
GET       2.191       99.531
GET       2.207       99.570
GET       2.223       99.609
GET       2.223       99.629
GET       2.239       99.648
GET       2.239       99.668
GET       2.239       99.688
GET       2.255       99.707
GET       2.255       99.727
GET       2.271       99.746
GET       2.271       99.766
GET       2.287       99.785
GET       2.287       99.805
GET       2.303       99.814
GET       2.303       99.824
GET       2.303       99.834
GET       2.303       99.844
GET       2.319       99.854
GET       2.319       99.863
GET       2.335       99.873
GET       2.335       99.883
GET       2.335       99.893
GET       2.351       99.902
GET       2.351       99.907
GET       2.351       99.912
GET       2.367       99.917
GET       2.367       99.922
GET       2.367       99.927
GET       2.367       99.932
GET       2.383       99.937
GET       2.383       99.941
GET       2.399       99.946
GET       2.399       99.951
GET       2.399       99.954
GET       2.415       99.956
GET       2.415       99.958
GET       2.415       99.961
GET       2.431       99.963
GET       2.431       99.966
GET       2.447       99.968
GET       2.447       99.971
GET       2.463       99.973
GET       2.463       99.976
GET       2.463       99.977
GET       2.463       99.978
GET       2.495       99.979
GET       2.495       99.980
GET       2.495       99.982
GET       2.511       99.983
GET       2.543       99.984
GET       2.655       99.985
GET       2.943       99.987
GET       3.071       99.988
GET       3.135       99.988
GET       3.455       99.989
GET       3.775       99.990
GET       4.447       99.990
GET     593.919       99.991
GET     630.783       99.991
GET     692.223       99.992
GET     696.319       99.993
GET     790.527       99.993
GET     815.103       99.994
GET     831.487       99.994
GET     835.583       99.995
GET     835.583       99.995
GET     851.967       99.995
GET     851.967       99.995
GET     897.023       99.996
GET     897.023       99.996
GET     929.791       99.996
GET     929.791       99.997
GET     942.079       99.997
GET     942.079       99.997
GET     942.079       99.997
GET     942.079       99.997
GET     942.079       99.998
GET     942.079       99.998
GET     946.175       99.998
GET     946.175       99.998
GET     946.175       99.998
GET     946.175       99.998
GET     950.271       99.998
GET     950.271       99.999
